Inicio...
Resolving a Control stream...

Corrida N#:  0
[0, 0, 1, 1]
ts:  1969-12-31 22:39:26.916077 - 1969-12-31 22:39:26.921440
ts:  1969-12-31 22:39:26.920077 - 1969-12-31 22:39:26.921535
ts:  1969-12-31 22:39:26.911542 - 1969-12-31 22:39:26.949840
ts:  1969-12-31 22:39:26.915542 - 1969-12-31 22:39:26.950096
ts:  1969-12-31 22:39:26.919542 - 1969-12-31 22:39:26.950325
ts:  1969-12-31 22:39:26.923542 - 1969-12-31 22:39:26.950524
ts:  1969-12-31 22:39:26.927542 - 1969-12-31 22:39:26.950723
ts:  1969-12-31 22:39:26.931542 - 1969-12-31 22:39:26.950873
ts:  1969-12-31 22:39:26.935542 - 1969-12-31 22:39:26.950968
ts:  1969-12-31 22:39:26.939542 - 1969-12-31 22:39:26.951048
ts:  1969-12-31 22:39:26.943542 - 1969-12-31 22:39:26.951172
ts:  1969-12-31 22:39:26.947542 - 1969-12-31 22:39:26.951273
ts:  1969-12-31 22:39:26.948089 - 1969-12-31 22:39:26.985759
ts:  1969-12-31 22:39:26.952089 - 1969-12-31 22:39:26.986222
ts:  1969-12-31 22:39:26.956089 - 1969-12-31 22:39:26.986468
ts:  1969-12-31 22:39:26.960089 - 1969-12-31 22:39:26.986741
ts:  1969-12-31 22:39:26.964089 - 1969-12-31 22:39:26.987208
ts:  1969-12-31 22:39:26.968089 - 1969-12-31 22:39:26.987563
ts:  1969-12-31 22:39:26.972089 - 1969-12-31 22:39:26.987739
ts:  1969-12-31 22:39:26.976089 - 1969-12-31 22:39:26.988077
ts:  1969-12-31 22:39:26.980089 - 1969-12-31 22:39:26.988269
ts:  1969-12-31 22:39:26.984089 - 1969-12-31 22:39:26.988516
ts:  1969-12-31 22:39:26.981990 - 1969-12-31 22:39:27.019054
ts:  1969-12-31 22:39:26.985990 - 1969-12-31 22:39:27.019205
ts:  1969-12-31 22:39:26.989990 - 1969-12-31 22:39:27.019236
ts:  1969-12-31 22:39:26.993990 - 1969-12-31 22:39:27.019263
ts:  1969-12-31 22:39:26.997990 - 1969-12-31 22:39:27.019287
ts:  1969-12-31 22:39:27.001990 - 1969-12-31 22:39:27.019311
ts:  1969-12-31 22:39:27.005990 - 1969-12-31 22:39:27.019334
ts:  1969-12-31 22:39:27.009990 - 1969-12-31 22:39:27.019356
ts:  1969-12-31 22:39:27.013990 - 1969-12-31 22:39:27.019378
ts:  1969-12-31 22:39:27.017990 - 1969-12-31 22:39:27.019401
ts:  1969-12-31 22:39:27.003756 - 1969-12-31 22:39:27.040741
ts:  1969-12-31 22:39:27.007756 - 1969-12-31 22:39:27.040836
ts:  1969-12-31 22:39:27.011756 - 1969-12-31 22:39:27.040865
ts:  1969-12-31 22:39:27.015756 - 1969-12-31 22:39:27.040888
ts:  1969-12-31 22:39:27.019756 - 1969-12-31 22:39:27.040910
ts:  1969-12-31 22:39:27.023756 - 1969-12-31 22:39:27.040932
ts:  1969-12-31 22:39:27.027756 - 1969-12-31 22:39:27.040953
ts:  1969-12-31 22:39:27.031756 - 1969-12-31 22:39:27.040973
ts:  1969-12-31 22:39:27.035756 - 1969-12-31 22:39:27.040994
ts:  1969-12-31 22:39:27.039756 - 1969-12-31 22:39:27.041015
ts:  1969-12-31 22:39:27.031417 - 1969-12-31 22:39:27.068441
ts:  1969-12-31 22:39:27.035417 - 1969-12-31 22:39:27.068554
ts:  1969-12-31 22:39:27.039417 - 1969-12-31 22:39:27.068586
ts:  1969-12-31 22:39:27.043417 - 1969-12-31 22:39:27.068610
ts:  1969-12-31 22:39:27.047417 - 1969-12-31 22:39:27.068631
ts:  1969-12-31 22:39:27.051417 - 1969-12-31 22:39:27.068655
ts:  1969-12-31 22:39:27.055417 - 1969-12-31 22:39:27.068686
ts:  1969-12-31 22:39:27.059417 - 1969-12-31 22:39:27.068729
ts:  1969-12-31 22:39:27.063417 - 1969-12-31 22:39:27.068774
ts:  1969-12-31 22:39:27.067417 - 1969-12-31 22:39:27.068826
ts:  1969-12-31 22:39:27.056742 - 1969-12-31 22:39:27.093634
ts:  1969-12-31 22:39:27.060742 - 1969-12-31 22:39:27.093728
ts:  1969-12-31 22:39:27.064742 - 1969-12-31 22:39:27.093758
ts:  1969-12-31 22:39:27.068742 - 1969-12-31 22:39:27.093782
ts:  1969-12-31 22:39:27.072742 - 1969-12-31 22:39:27.093804
ts:  1969-12-31 22:39:27.076742 - 1969-12-31 22:39:27.093825
ts:  1969-12-31 22:39:27.080742 - 1969-12-31 22:39:27.093846
ts:  1969-12-31 22:39:27.084742 - 1969-12-31 22:39:27.093867
ts:  1969-12-31 22:39:27.088742 - 1969-12-31 22:39:27.093888
ts:  1969-12-31 22:39:27.092742 - 1969-12-31 22:39:27.093908
ts:  1969-12-31 22:39:27.082307 - 1969-12-31 22:39:27.119510
ts:  1969-12-31 22:39:27.086307 - 1969-12-31 22:39:27.119641
ts:  1969-12-31 22:39:27.090307 - 1969-12-31 22:39:27.119682
ts:  1969-12-31 22:39:27.094307 - 1969-12-31 22:39:27.119777
ts:  1969-12-31 22:39:27.098307 - 1969-12-31 22:39:27.119947
ts:  1969-12-31 22:39:27.102307 - 1969-12-31 22:39:27.120160
ts:  1969-12-31 22:39:27.106307 - 1969-12-31 22:39:27.120383
ts:  1969-12-31 22:39:27.110307 - 1969-12-31 22:39:27.120757
ts:  1969-12-31 22:39:27.114307 - 1969-12-31 22:39:27.121541
ts:  1969-12-31 22:39:27.118307 - 1969-12-31 22:39:27.121925
ts:  1969-12-31 22:39:27.109028 - 1969-12-31 22:39:27.146955
ts:  1969-12-31 22:39:27.113028 - 1969-12-31 22:39:27.148289
ts:  1969-12-31 22:39:27.117028 - 1969-12-31 22:39:27.148883
ts:  1969-12-31 22:39:27.121028 - 1969-12-31 22:39:27.149422
ts:  1969-12-31 22:39:27.125028 - 1969-12-31 22:39:27.149949
ts:  1969-12-31 22:39:27.129028 - 1969-12-31 22:39:27.150362
ts:  1969-12-31 22:39:27.133028 - 1969-12-31 22:39:27.150448
ts:  1969-12-31 22:39:27.137028 - 1969-12-31 22:39:27.150595
ts:  1969-12-31 22:39:27.141028 - 1969-12-31 22:39:27.150880
ts:  1969-12-31 22:39:27.145028 - 1969-12-31 22:39:27.151398
ts:  1969-12-31 22:39:27.145466 - 1969-12-31 22:39:27.182791
ts:  1969-12-31 22:39:27.149466 - 1969-12-31 22:39:27.183188
ts:  1969-12-31 22:39:27.153466 - 1969-12-31 22:39:27.183499
ts:  1969-12-31 22:39:27.157466 - 1969-12-31 22:39:27.184001
ts:  1969-12-31 22:39:27.161466 - 1969-12-31 22:39:27.184269
ts:  1969-12-31 22:39:27.165466 - 1969-12-31 22:39:27.184391
ts:  1969-12-31 22:39:27.169466 - 1969-12-31 22:39:27.184641
ts:  1969-12-31 22:39:27.173466 - 1969-12-31 22:39:27.184919
ts:  1969-12-31 22:39:27.177466 - 1969-12-31 22:39:27.185059
ts:  1969-12-31 22:39:27.181466 - 1969-12-31 22:39:27.185167
ts:  1969-12-31 22:39:27.173032 - 1969-12-31 22:39:27.210667
ts:  1969-12-31 22:39:27.177032 - 1969-12-31 22:39:27.211127
ts:  1969-12-31 22:39:27.181032 - 1969-12-31 22:39:27.211306
ts:  1969-12-31 22:39:27.185032 - 1969-12-31 22:39:27.211398
ts:  1969-12-31 22:39:27.189032 - 1969-12-31 22:39:27.211564
ts:  1969-12-31 22:39:27.193032 - 1969-12-31 22:39:27.211957
ts:  1969-12-31 22:39:27.197032 - 1969-12-31 22:39:27.212150
ts:  1969-12-31 22:39:27.201032 - 1969-12-31 22:39:27.212287
ts:  1969-12-31 22:39:27.205032 - 1969-12-31 22:39:27.212416
ts:  1969-12-31 22:39:27.209032 - 1969-12-31 22:39:27.212545
ts:  1969-12-31 22:39:27.199660 - 1969-12-31 22:39:27.236255
ts:  1969-12-31 22:39:27.203660 - 1969-12-31 22:39:27.236365
ts:  1969-12-31 22:39:27.207660 - 1969-12-31 22:39:27.236421
ts:  1969-12-31 22:39:27.211660 - 1969-12-31 22:39:27.236445
ts:  1969-12-31 22:39:27.215660 - 1969-12-31 22:39:27.236467
ts:  1969-12-31 22:39:27.219660 - 1969-12-31 22:39:27.236488
ts:  1969-12-31 22:39:27.223660 - 1969-12-31 22:39:27.236509
ts:  1969-12-31 22:39:27.227660 - 1969-12-31 22:39:27.236529
ts:  1969-12-31 22:39:27.231660 - 1969-12-31 22:39:27.236551
ts:  1969-12-31 22:39:27.235660 - 1969-12-31 22:39:27.236571
ts:  1969-12-31 22:39:27.226400 - 1969-12-31 22:39:27.264039
ts:  1969-12-31 22:39:27.230400 - 1969-12-31 22:39:27.265026
ts:  1969-12-31 22:39:27.234400 - 1969-12-31 22:39:27.265752
ts:  1969-12-31 22:39:27.238400 - 1969-12-31 22:39:27.266133
ts:  1969-12-31 22:39:27.242400 - 1969-12-31 22:39:27.266483
ts:  1969-12-31 22:39:27.246400 - 1969-12-31 22:39:27.266769
ts:  1969-12-31 22:39:27.250400 - 1969-12-31 22:39:27.267071
ts:  1969-12-31 22:39:27.254400 - 1969-12-31 22:39:27.267124
ts:  1969-12-31 22:39:27.258400 - 1969-12-31 22:39:27.267318
ts:  1969-12-31 22:39:27.262400 - 1969-12-31 22:39:27.267511
ts:  1969-12-31 22:39:27.254332 - 1969-12-31 22:39:27.290971
ts:  1969-12-31 22:39:27.258332 - 1969-12-31 22:39:27.291196
ts:  1969-12-31 22:39:27.262332 - 1969-12-31 22:39:27.291240
ts:  1969-12-31 22:39:27.266332 - 1969-12-31 22:39:27.291318
ts:  1969-12-31 22:39:27.270332 - 1969-12-31 22:39:27.291347
ts:  1969-12-31 22:39:27.274332 - 1969-12-31 22:39:27.291372
ts:  1969-12-31 22:39:27.278332 - 1969-12-31 22:39:27.291398
