Inicio...
Resolving a Control stream...

Corrida N#:  0
[0, 0, 1, 1]
ts:  1969-12-31 22:16:47.632347 - 1969-12-31 22:16:47.650613
ts:  1969-12-31 22:16:47.636347 - 1969-12-31 22:16:47.650813
ts:  1969-12-31 22:16:47.640347 - 1969-12-31 22:16:47.650923
ts:  1969-12-31 22:16:47.644347 - 1969-12-31 22:16:47.650952
ts:  1969-12-31 22:16:47.648347 - 1969-12-31 22:16:47.650973
ts:  1969-12-31 22:16:47.637240 - 1969-12-31 22:16:47.673939
ts:  1969-12-31 22:16:47.641240 - 1969-12-31 22:16:47.674162
ts:  1969-12-31 22:16:47.645240 - 1969-12-31 22:16:47.674216
ts:  1969-12-31 22:16:47.649240 - 1969-12-31 22:16:47.674243
ts:  1969-12-31 22:16:47.653240 - 1969-12-31 22:16:47.674271
ts:  1969-12-31 22:16:47.657240 - 1969-12-31 22:16:47.674298
ts:  1969-12-31 22:16:47.661240 - 1969-12-31 22:16:47.674325
ts:  1969-12-31 22:16:47.665240 - 1969-12-31 22:16:47.674351
ts:  1969-12-31 22:16:47.669240 - 1969-12-31 22:16:47.674378
ts:  1969-12-31 22:16:47.673240 - 1969-12-31 22:16:47.674406
ts:  1969-12-31 22:16:47.663900 - 1969-12-31 22:16:47.701754
ts:  1969-12-31 22:16:47.667900 - 1969-12-31 22:16:47.702278
ts:  1969-12-31 22:16:47.671900 - 1969-12-31 22:16:47.702600
ts:  1969-12-31 22:16:47.675900 - 1969-12-31 22:16:47.702785
ts:  1969-12-31 22:16:47.679900 - 1969-12-31 22:16:47.703231
ts:  1969-12-31 22:16:47.683900 - 1969-12-31 22:16:47.704416
ts:  1969-12-31 22:16:47.687900 - 1969-12-31 22:16:47.704748
ts:  1969-12-31 22:16:47.691900 - 1969-12-31 22:16:47.704805
ts:  1969-12-31 22:16:47.695900 - 1969-12-31 22:16:47.705165
ts:  1969-12-31 22:16:47.699900 - 1969-12-31 22:16:47.705452
ts:  1969-12-31 22:16:47.690990 - 1969-12-31 22:16:47.727964
ts:  1969-12-31 22:16:47.694990 - 1969-12-31 22:16:47.728122
ts:  1969-12-31 22:16:47.698990 - 1969-12-31 22:16:47.728154
